coverage,coverage_class,id,rle_mask
0.011567493383001668,1,6a89c7a85d,102 2 203 3 304 4 405 5 506 5 607 6 708 6 809 5 910 5 1011 5 1112 5 1213 5 1314 5 1415 5 1516 5 1617 6 1718 6 1819 6 1920 6 2021 5 2122 4 2223 3 2324 2 2425 2 2526 2 2627 2 2728 2 2829 1
0.0,0,ba67135a54,
0.0,0,c749d05181,
0.8558964807371826,9,28df927e87,1003 8 1092 20 1181 32 1267 47 1353 62 1442 74 1537 80 1635 83 1730 89 1828 92 1926 95 2024 98 2125 98 2226 98 2327 5855 8185 98 8286 98 8387 98 8488 603 9094 98 9195 98 9299 95 9403 92 9504 92 9605 92 9709 89 9810 89 9914 86 10015 86 10116 86
0.0,0,6752a6815f,
0.0,0,bedb558d15,
0.5506322909518675,6,31a4341eb6,1 3534 3536 99 3637 97 3738 95 3839 93 3940 91 4041 90 4142 88 4243 85 4344 83 4445 80 4546 80 4647 80 4748 79 4849 77 4950 74 5051 72 5152 71 5253 68 5354 66 5455 64 5556 60 5657 56 5758 53 5859 49 5960 45 6061 39 6162 34 6263 28 6364 23 6465 20 6566 15 6667 10 6768 8 6869 6 6970 4 7071 1
0.7470836192530144,8,3cd4d01b7d,1 66 102 66 203 65 304 63 405 63 506 62 607 62 708 62 809 63 910 63 1011 63 1112 64 1213 64 1314 65 1415 65 1516 65 1617 65 1718 64 1819 63 1920 63 2021 63 2122 63 2223 63 2324 63 2425 63 2526 63 2627 63 2728 64 2829 63 2930 64 3031 65 3132 65 3233 71 3334 74 3435 75 3536 76 3637 76 3738 75 3839 75 3940 74 4041 73 4142 72 4243 70 4344 69 4445 68 4546 68 4647 68 4748 67 4849 67 4950 67 5051 67 5152 67 5253 66 5354 66 5455 66 5556 66 5657 67 5758 69 5859 72 5960 74 6061 76 6162 77 6263 77 6364 77 6465 77 6566 79 6667 88 6768 90 6869 91 6970 93 7071 93 7172 90 7273 90 7374 89 7475 89 7576 89 7677 89 7778 89 7879 89 7980 89 8081 89 8182 89 8283 89 8384 89 8485 89 8586 90 8687 91 8788 91 8889 92 8990 92 9091 94 9192 93 9293 93 9394 92 9495 92 9596 92 9697 91 9798 90 9899 88 10000 86 10101 85
0.0,0,a90545f377,
0.7293402607587491,8,9cb42834b3,26 76 127 76 229 75 331 74 432 74 534 73 636 72 738 71 839 71 941 70 1043 69 1144 69 1246 68 1347 68 1449 67 1550 67 1652 66 1753 66 1855 65 1956 65 2058 64 2160 63 2262 62 2363 62 2464 62 2565 62 2664 64 2764 65 2865 65 2965 66 3066 66 3167 66 3268 66 3369 66 3470 66 3571 66 3672 66 3773 66 3873 67 3974 67 4075 67 4175 68 4276 68 4376 69 4476 70 4577 70 4677 71 4778 71 4879 71 4979 72 5079 73 5180 73 5280 74 5381 74 5482 74 5583 74 5684 74 5785 74 5886 74 5986 75 6087 75 6188 75 6288 76 6389 76 6490 76 6591 76 6692 76 6792 77 6893 77 6994 77 7095 77 7195 78 7296 78 7398 77 7499 77 7599 78 7700 78 7801 78 7901 79 8001 80 8102 80 8202 81 8303 81 8404 81 8505 81 8604 83 8705 83 8806 83 8907 83 9008 83 9108 84 9208 85 9307 87 9410 85 9511 85 9612 85 9712 86 9812 87 9913 87 10014 87 10115 87
0.4482893833937849,5,ed2b73840d,29 73 130 73 232 72 333 72 434 72 535 72 636 72 738 71 839 71 940 71 1042 70 1143 70 1244 70 1346 69 1447 69 1548 69 1650 68 1751 68 1852 68 1953 68 2054 68 2155 68 2256 68 2357 68 2459 67 2560 67 2661 67 2762 67 2863 67 2964 67 3065 67 3165 68 3266 68 3367 68 3468 68 3570 67 3672 66 3774 65 3876 64 3977 64 4080 62 4182 61 4285 59 4387 58 4488 58 4588 59 4689 59 4790 59 4892 58 4993 58 5094 58 5195 58 5296 58 5398 57 5499 57 5601 56 5702 56 5803 56 5905 55 6007 54 6108 54 6209 54 6310 54 6411 54 6514 52 6616 51 6718 50 6821 48 6924 46 7027 44 7130 42 7234 37 7337 32 7442 25 7547 18 7653 9
9.802960494069208e-05,1,efe3043924,10201 1
0.0,0,b83bc9dfa7,
0.08861876286638565,1,24c102ca1f,91 11 192 11 292 12 393 12 494 12 594 13 694 14 795 14 895 15 995 16 1095 17 1195 18 1296 18 1396 19 1496 20 1596 21 1696 22 1796 23 1896 24 1996 25 2096 26 2197 26 2297 27 2397 28 2497 29 2597 30 2698 30 2798 31 2899 31 2999 32 3100 32 3201 32 3303 31 3405 30 3508 28 3611 26 3714 24 3818 21 3922 18 4026 15 4131 11 4236 7 4342 2
0.24615233800607786,3,aa1cd9fb71,1313 1 1413 2 1513 3 1613 4 1713 5 1813 6 1913 7 2013 8 2113 9 2213 10 2313 11 2413 12 2514 12 2614 13 2714 14 2814 15 2915 15 3015 16 3116 16 3216 17 3317 17 3417 18 3517 19 3617 20 3717 21 3817 22 3917 23 4017 24 4117 25 4218 25 4318 26 4419 26 4519 27 4620 27 4720 28 4821 28 4921 29 5021 30 5122 30 5222 31 5322 32 5423 32 5522 34 5622 34 5722 34 5821 34 5921 34 6020 34 6120 34 6219 35 6319 34 6419 34 6520 33 6620 33 6720 33 6821 32 6921 33 7022 32 7122 32 7222 33 7323 32 7423 33 7523 33 7624 33 7724 34 7825 33 7925 34 8026 34 8126 35 8226 36 8326 36 8426 37 8527 37 8627 38 8727 39 8827 40 8927 41 9027 42 9127 43 9227 44 9327 45 9427 45 9527 46 9628 46 9728 47 9829 47 9930 47 10030 48 10131 48
0.0,0,e7a5e5e55f,
0.0,0,5f8f40ce31,
0.009018723654543672,1,9e8e175c01,8686 1 8787 1 8887 2 8988 2 9088 3 9188 4 9288 5 9388 6 9488 7 9589 7 9689 8 9790 8 9890 9 9991 9 10091 10 10192 10
0.0,0,d2e14828d5,
