coverage,coverage_class,id,rle_mask
0.0,0,00cda0328c,
0.2304676012155671,3,216e2a7492,101 1 201 2 302 2 403 2 503 3 604 3 705 3 805 4 906 4 1006 5 1107 5 1207 6 1308 6 1408 7 1509 7 1609 8 1710 8 1810 9 1911 9 2011 10 2112 10 2212 11 2313 11 2413 12 2514 12 2614 13 2714 14 2815 14 2915 15 3015 16 3116 16 3216 17 3316 18 3416 19 3517 19 3617 20 3718 20 3818 21 3919 21 4019 22 4120 22 4220 23 4321 23 4422 23 4523 23 4623 24 4724 24 4825 24 4926 24 5027 24 5128 24 5229 24 5330 24 5431 24 5531 25 5632 25 5733 25 5834 25 5935 25 6036 25 6136 26 6237 26 6338 26 6438 27 6539 27 6640 27 6740 28 6841 28 6941 29 7042 29 7143 29 7243 30 7344 30 7444 31 7545 31 7645 32 7746 32 7846 33 7947 33 8047 34 8148 34 8248 35 8348 36 8449 36 8549 37 8649 38 8750 38 8850 39 8950 40 9051 40 9151 41 9252 41 9352 42 9452 43 9553 43 9653 44 9753 45 9854 45 9954 46 10054 47 10154 48
0.035290657778649155,1,cd2046479c,6696 4 6797 6 6898 8 6998 10 7099 11 7200 11 7302 11 7403 11 7505 11 7606 11 7708 10 7810 9 7912 8 8013 9 8115 8 8216 9 8318 9 8419 9 8521 9 8622 10 8723 11 8825 11 8926 11 9028 11 9130 11 9231 11 9333 11 9434 11 9536 11 9637 12 9739 11 9840 13 9942 13 10044 13 10145 15
0.0002940888148220762,1,30e5cfec08,9899 1 10000 1 10101 1
0.10283305558278599,2,36db23ceb8,506 1 607 1 708 2 809 2 910 3 1011 3 1112 3 1213 3 1314 3 1415 3 1516 4 1617 4 1718 4 1819 4 1920 4 2021 4 2122 4 2223 4 2324 4 2425 4 2526 4 2627 4 2728 4 2829 4 2930 4 3031 4 3132 4 3233 4 3334 4 3435 4 3536 4 3637 4 3738 5 3839 5 3940 5 4041 6 4142 6 4243 7 4344 8 4445 8 4546 9 4647 8 4748 8 4849 7 4950 6 5051 6 5152 6 5253 6 5354 6 5455 7 5556 7 5657 7 5758 7 5859 8 5960 8 6061 9 6162 9 6263 9 6364 10 6465 10 6566 10 6667 10 6768 10 6869 11 6970 11 7071 11 7172 11 7273 11 7374 11 7475 11 7576 11 7677 12 7778 12 7879 13 7980 14 8081 14 8182 15 8283 16 8384 17 8485 19 8586 20 8687 21 8788 22 8889 24 8990 25 9091 26 9192 28 9293 29 9394 31 9495 32 9596 34 9697 36 9798 37 9899 39 10001 40 10105 40
0.02636996372904617,1,d998a07370,8989 1 9087 4 9185 7 9284 9 9381 13 9475 20 9573 23 9671 26 9772 26 9869 30 9967 33 10064 37 10162 40
0.0046073914322125285,1,6c0a545d06,10086 15 10170 32
0.0,0,c33faa5d81,
0.5621017547299284,6,40fbc03558,1 5034 5044 88 5149 80 5251 74 5354 68 5455 64 5556 59 5657 54 5758 48 5859 43 5960 37 6061 31 6162 24 6263 17 6364 10 6465 3
0.0,0,92d116836e,
0.734143711400843,8,7e78a47cee,1 606 609 99 713 96 817 93 924 87 1028 84 1135 78 1242 72 1346 69 1447 69 1554 63 1664 54 1768 51 1875 45 1985 36 2092 30 2199 24 2303 21 2407 18 2514 12 2621 6 2725 3 4038 3 4133 9 4222 21 4308 36 4400 45 4489 57 4578 69 4664 84 4753 5449
0.7255171061660621,8,8c916f9cb5,492 5 590 14 682 26 781 28 873 37 962 49 1058 54 1154 59 1245 69 1342 73 1442 74 1542 75 1643 75 1744 75 1845 75 1946 75 2050 72 2153 70 2255 69 2356 69 2457 69 2558 69 2659 69 2760 69 2861 69 2961 70 3061 71 3161 72 3262 72 3363 72 3462 74 3558 79 3658 80 3757 82 3857 83 3957 84 4056 86 4154 89 4252 92 4351 94 4450 96 4548 702 5253 96 5354 94 5455 92 5556 91 5657 89 5758 88 5859 87 5960 86 6061 85 6162 84 6263 84 6364 84 6465 84 6566 83 6667 82 6768 81 6869 80 6970 80 7071 80 7172 79 7273 78 7374 76 7475 74 7576 72 7677 71 7778 71 7879 71 7980 72 8081 73 8182 74 8283 75 8384 76 8485 76 8586 77 8687 78 8788 79 8889 80 8990 80 9091 80 9192 80 9293 80 9394 80 9495 79 9596 79 9697 77 9798 76 9899 75 10000 74 10101 73
0.9950004901480248,10,c353af5098,16 86 116 87 214 90 312 93 408 9794
0.5472012547789432,6,d8b1bbbfdf,1 51 102 51 203 51 304 51 405 51 506 52 607 53 708 53 809 52 910 52 1011 51 1112 51 1213 51 1314 51 1415 52 1516 52 1617 52 1718 53 1819 53 1920 53 2021 51 2122 51 2223 51 2324 51 2425 51 2526 51 2627 51 2728 52 2829 52 2930 53 3031 53 3132 53 3233 55 3334 55 3435 56 3536 56 3637 57 3738 57 3839 58 3940 59 4041 59 4142 59 4243 59 4344 59 4445 59 4546 59 4647 58 4748 58 4849 57 4950 57 5051 57 5152 57 5253 57 5354 57 5455 55 5556 55 5657 55 5758 55 5859 55 5960 54 6061 54 6162 54 6263 55 6364 55 6465 55 6566 55 6667 55 6768 55 6869 54 6970 53 7071 53 7172 53 7273 53 7374 53 7475 55 7576 56 7677 56 7778 57 7879 57 7980 57 8081 57 8182 57 8283 57 8384 57 8485 57 8586 57 8687 58 8788 58 8889 58 8990 59 9091 59 9192 58 9293 58 9394 58 9495 58 9596 59 9697 60 9798 61 9899 63 10000 64 10101 64
